user_name,country,review_title,review_description,designation,points,price,province,region_1,region_2,winery,variety
@vboone,US,MacRostie 2013 Wildcat Mountain Vineyard Pinot Noir (Sonoma Coast),"Light, clear and varietal, this wine is pungent in earth, chocolate, black tea and leather, medium- to full-bodied with remarkable offerings of sage, rosemary and savory mushroom. Cherry and cinnamon add to the intrigue and flavor.",Wildcat Mountain Vineyard,91,54.0,California,Sonoma Coast,Sonoma,MacRostie,Pinot Noir
@wawinereport,US,Darby 2010 The Swagger Red (Columbia Valley (WA)),"This Cabernet Sauvignon and Merlot-dominant blend has reserved aromas of herbs, cherry and freshly cut grass. The coffee and dark fruit flavors are full bodied, with a polished feel.",The Swagger,89,58.0,Washington,Columbia Valley (WA),Columbia Valley,Darby,Cabernet Sauvignon
@mattkettmann,US,Lucienne 2012 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),"From the Hahn family of wines comes this solid representation of the appellation, with dark cherry, wet slate and soft mint on the nose. The mouthfeel is soft and comforting, with tight raspberry fruit and a clove-like spice note carrying through the entire sip, culminating in a mouthwatering black-pepper finish.",Lone Oak Vineyard,92,50.0,California,Santa Lucia Highlands,Central Coast,Lucienne,Syrah
@paulgwine ,US,River's Edge 2012 Winemaker's Reserve Pinot Noir (Elkton Oregon),"This is produced only in the best vintages; here from just two barrels the winery noted as standouts. Concentrated flavors of cherry and cassis are amplified with a streak of red licorice. Acids keep the wine poised and fresh, and the finish brings in a dollop of chocolate and a hint of cut tobacco.",Winemaker's Reserve,91,35.0,Oregon,Elkton Oregon,Southern Oregon,River's Edge,Red Blend
@mattkettmann,US,Tantara 2012 Tondre H Block Pinot Noir (Santa Lucia Highlands),"Pomegranate, sour cherry, cranberry and slight anise emerge with patience on the shy nose. The flavors are also light, with cranberry sauce, brown spices, a touch of pepper and an herbal finish.",Tondre H Block,88,65.0,California,Santa Lucia Highlands,Central Coast,Tantara,Cabernet Sauvignon
@paulgwine ,US,Sokol Blosser 2010 Goosepen Block Pinot Noir (Dundee Hills),"This single block selection is a truly pretty wine, with scents and flavors of rose petals, raspberries, brown spices, nutmeg and mocha. It's complex and elegant, with a mouth-pleasing creaminess.",Goosepen Block,94,80.0,Oregon,Dundee Hills,Willamette Valley,Sokol Blosser,Pinot Noir
@wawinereport,US,Januik 2014 Ciel du Cheval Vineyard Cabernet Sauvignon (Red Mountain),"From one of the state's most highly regarded vineyards, this boasts beguiling aromas of milk chocolate, plum, barrel spice, vanilla, herb and coffee. Lightly smoky, sensuous fruit and barrel flavors follow, showing more elegance than this often brawny appellation is known for.",Ciel du Cheval Vineyard,90,45.0,Washington,Red Mountain,Columbia Valley,Januik,Bordeaux-style Red Blend
@paulgwine ,US,Mount Baker 2007 Barrel Select Syrah (Yakima Valley),"This “Barrel Select” Syrah has been ripened to pruneyness, yet remains short, hot and simple. It could be any red grape left to hang late and fermented at (perhaps) high temperatures.",Barrel Select,83,14.0,Washington,Yakima Valley,Columbia Valley,Mount Baker,Sauvignon Blanc
@wawinereport,US,Pirouette 2013 Vintage Select Solo Dancer Red (Columbia Valley (WA)),"Although not labeled as such, this is 98% Cabernet Sauvignon and 2% Petit Verdot. Aromas of dried herb, black currant, pipe tobacco, cassis, black licorice and blackberry pie give way to pitch-black tightly wound fruit flavors. It shows exquisite concentration and richness, with enough acid and tannin to go the distance.",Vintage Select Solo Dancer,92,90.0,Washington,Columbia Valley (WA),Columbia Valley,Pirouette,Cabernet Sauvignon
@mattkettmann,US,Testarossa 2012 Cuvée Los Gatos Chardonnay (Monterey County),"Los Gatos-based Testarossa is building a powerful reputation as a single-vineyard specialist, but this more accessibly priced cuvée from Monterey County rivals their best efforts. There is nuttiness, brioche and slightly sour orange on the nose, followed by a very soft mouthfeel, with flavors of pound cake, vanilla cookie, peach cobbler and candied grapefruit.",Cuvée Los Gatos,92,23.0,California,Monterey County,Central Coast,Testarossa,Chardonnay
@paulgwine ,US,Efeste 2009 Jolie Bouche Syrah (Yakima Valley),"This is a supple, spicy wine, with a core of black cherry fruit. It's complemented with lighter flavors of cola, earth and coffee. At first it seems to fade a little too quickly, but with some breathing time the finish expands and brings in notes of cracker and toast.",Jolie Bouche,91,39.0,Washington,Yakima Valley,Columbia Valley,Efeste,Bordeaux-style Red Blend
@paulgwine ,US,Trisaetum 2013 Ribbon Ridge Estate Dry Riesling (Ribbon Ridge),"This dry wine from the Ribbon Ridge vineyard, adjacent to the winery, is briskly tart without being sour. Flavors of lemony tea and Meyer lemon meringue intrigue immediately. There is splendid structure and complexity in play here, with layers of flower, citrus and mineral, all in perfect harmony. It's easy to believe this wine could age through 2024, even longer.",Ribbon Ridge Estate Dry,94,24.0,Oregon,Ribbon Ridge,Willamette Valley,Trisaetum,Pinot Noir
@gordone_cellars,US,Naggiar 2012 Estate Sangiovese (Sierra Foothills),"A spicy oak aroma, fresh red cherry and cranberry flavors and a brisk, slightly tannic texture make this wine quite appetizing. While medium bodied, it has plenty of flavor impact as well as an enticing mouthfeel.",Estate,89,22.0,California,Sierra Foothills,Sierra Foothills,Naggiar,Sauvignon Blanc
@paulgwine ,US,Woodward Canyon 2012 Artist Series #21 Cabernet Sauvignon (Washington),"This wine has deeply concentrated yet focused and spicy purple-fruit tones. It's generously endowed with notes of tobacco, licorice, mineral and pepper. The highlights keep piling on through a finish that seems to run for several minutes. This bold wine is enjoyable now but should also cellar well through 2020.",Artist Series #21,94,59.0,Washington,Washington,Washington Other,Woodward Canyon,Cabernet Sauvignon
@paulgwine ,US,Sleight of Hand 2007 The Illusionist Red Red (Columbia Valley (WA)),"All five Bordeaux varietals are blended with a bit of Syrah. Firm, dark and concentrated, the wine enters with alluring, complex scents of Asian spice, sweet hay, chamomile and coffee. Raspberry and cherry fruit is set against balancing acidity and ripe tannins. The finish adds coffee liqueur, smoke and tar.",The Illusionist Red,92,40.0,Washington,Columbia Valley (WA),Columbia Valley,Sleight of Hand,Bordeaux-style Red Blend
@paulgwine ,US,Blakeslee 2014 Rosé of Pinot Noir (Chehalem Mountains),"One of the top Pinot rosés of the vintage, this is beautiful to look at, to sniff and to sip. The color of pale pink cherry blossoms, it matches rather delicate complexity to surprising concentration, pushing ripe cherry fruit front and center. It's finished dry, and should not be over-chilled, or you'll miss the lovely aromatics.",Rosé of,91,30.0,Oregon,Chehalem Mountains,Willamette Valley,Blakeslee,Pinot Noir
@paulgwine ,US,Chateau Ste. Michelle 2010 Ethos Reserve Syrah (Columbia Valley (WA)),"Black fruits are wreathed in subtle notes of earth, smoke and graphite. This is a palate-pleasing wine, but seems a little too safe, lacking the complexity and northern Rhône accents that Washington Syrahs often show.",Ethos Reserve,88,35.0,Washington,Columbia Valley (WA),Columbia Valley,Chateau Ste. Michelle,Chardonnay
@paulgwine ,US,Columbia Crest 2007 Grand Estates Syrah (Columbia Valley (WA)),"This is a changed wine from previous vintages, now emphasizing the berry flavors of the fruit and not shying away from some chewy tannins. It seems more honest and direct, without the wash of vanilla and jam, and more food-friendly as well, with the stuffing to take on a flank or hanger steak.",Grand Estates,87,12.0,Washington,Columbia Valley (WA),Columbia Valley,Columbia Crest,Pinot Gris
@paulgwine ,US,Colene Clemens 2012 Margo Pinot Noir (Chehalem Mountains),"Bright and spicy, this wine makes an immediate impact. The blueberry fruit has a sassy edge, and it penetrates through the middle into a finish with notes of black licorice, baking spices and coffee grounds. Firm, full and tight, the wine should age nicely now through 2025.",Margo,92,36.0,Oregon,Chehalem Mountains,Willamette Valley,Colene Clemens,Pinot Noir
@vboone,US,Peace Water 2013 Bliss Sauvignon Blanc (Napa Valley),"This wine's personality is all peach fuzz and tropical thunder, wrapped in grassy herbs. With bristling acidity, it's refreshing and bright, with a flattened finish.",Bliss,85,24.0,California,Napa Valley,Napa,Peace Water,Chardonnay
@vboone,US,Klinker Brick 2008 Farrah Syrah (Lodi),"From a producer to watch in underrated Lodi, this intense, black cherry, bacon-fat and white peppery Syrah has an almost peat-like, whisky aroma at first, very inviting, which then leads into more bacon and pepper that carries through on the palate, balanced by extremely smooth tannins and an unexpected elegance. A really cool Syrah to try on its own that'll go very nicely with meaty, wintery foods.",Farrah,91,20.0,California,Lodi,Central Valley,Klinker Brick,Zinfandel
@wawinereport,US,Genoa 2012 Flying Colors Super Tuscan-Style Red (Columbia Valley (WA)),"Half Cabernet with the rest Syrah, Cabernet Sauvignon, Merlot, Mourvèdre and Petit Verdot, this wine opens with aromas of sweet barrel spices followed by dried red and black fruit. The palate is fruit-forward and flavorful, bringing you back for another sip.",Flying Colors Super Tuscan-Style,89,29.0,Washington,Columbia Valley (WA),Columbia Valley,Genoa,Red Blend
@wawinereport,US,Ardor 2013 Art Den Hoed Vineyard Syrah (Yakima Valley),"This captures attention with piercing cherry and cranberry aromas and with herb and orange-peel grace notes. The palate is soft, polished and layered, with a mouthfeel that dazzles and the flavors to back it up. The finish lingers.",Art Den Hoed Vineyard,91,40.0,Washington,Yakima Valley,Columbia Valley,Ardor,Bordeaux-style Red Blend
@mattkettmann,US,Midnight 2013 Starlight Sangiovese (Paso Robles),"Light and lively aromas of dried red berries, concentrated roses, cola and black plums show on the nose of this very accessible and pleasurable Sangiovese. The cohesive palate integrates cherry, cola and milk-chocolate flavors into an easy-drinking frame, perfect for barbecues or family-style Italian meals.",Starlight,89,36.0,California,Paso Robles,Central Coast,Midnight,Rhône-style Red Blend
@vboone,US,Zepaltas 2012 Charles Heintz Vineyard Chardonnay (Sonoma Coast),"This wine pushes the limits of what is commonly thought of as California Chardonnay. It's refreshingly brisk in light, citrusy quince and razor-sharp minerality. Vibrant, it showcases the site well, coaxing crystal clarity to complex layers of ginger-specked apple and pear.",Charles Heintz Vineyard,91,45.0,California,Sonoma Coast,Sonoma,Zepaltas,Pinot Noir
@mattkettmann,US,Fiddlehead 2014 Goosebury Sauvignon Blanc (Santa Ynez Valley),"Very light in the glass, this wine by regional Sauv Blanc veteran Kathy Joseph offers cut green apples, sweet lime blossoms and a light honey element on the nose. Lime zest and citrus pith decorate the palate, with steely white pepper and dried oregano flavors that race across the tense palate.",Goosebury,92,34.0,California,Santa Ynez Valley,Central Coast,Fiddlehead,Pinot Noir
@wawinereport,US,Nine Hats 2016 The Benches Vineyard Pinot Gris (Horse Heaven Hills),"This wine's red and yellow apple and melon aromas lead to broad, fleshy fruit flavors. It's direct and delivers a lot of appeal.",The Benches Vineyard,88,14.0,Washington,Horse Heaven Hills,Columbia Valley,Nine Hats,Sauvignon Blanc
@paulgwine ,US,Le Cadeau 2009 Oregon Pinot Noir (Willamette Valley),"Smooth and rich, the first release of the new vintage from Le Cadeau is a gem. Tangy berry/cherry fruit is framed in chocolate, while balancing acidity props up softer, caramel streaks. The finish brings a wash of citrus, leaving the mouth feeling clean and ready to sip again.",Oregon,90,40.0,Oregon,Willamette Valley,Willamette Valley,Le Cadeau,Pinot Noir
@mattkettmann,US,Sante Arcangeli 2014 Lester Family Vineyard Pinot Noir (Santa Cruz Mountains),"There's an inherent minerality to this bottling. Slate and wet concrete aromas are laid atop baked strawberry, stewed bay leaf and crushed oregano notes. A peppery acidity comes in the sip, which boasts a dark cranberry and stewed raspberry fruit backbone, touches of pine needle and more bay leaf.",Lester Family Vineyard,92,45.0,California,Santa Cruz Mountains,Central Coast,Sante Arcangeli,Rhône-style Red Blend
@wawinereport,US,For a Song 2012 Caliche Lake Vineyard Riesling (Columbia Valley (WA)),"Though not labeled as such, this thrilling Riesling comes from the Ancient Lakes appellation and brings aromatic notes of peach, orange blossom and pear. It drinks medium-sweet with abundant stone fruit flavors.",Caliche Lake Vineyard,90,10.0,Washington,Columbia Valley (WA),Columbia Valley,For a Song,Sauvignon Blanc
@vboone,US,Howell Mountain Vineyards 2011 Hillside Select Cabernet Sauvignon (Howell Mountain),"Soft and dusty, this is an herbal, elegant Cabernet from big mountain fruit, the tannins well-managed. It starts out with an intensity of black fruit followed by sturdy structure and a finish of chocolate and coffee.",Hillside Select,90,75.0,California,Howell Mountain,Napa,Howell Mountain Vineyards,Cabernet Sauvignon
@paulgwine ,US,Amalie Robert 2012 Wadenswil Clone Pinot Noir (Willamette Valley),"Medium weight and roundly fruity, this pleasant wine carries a touch of minerality. It's slightly dilute, and there is a suggestion of water cracker resonating through the finish.",Wadenswil Clone,88,65.0,Oregon,Willamette Valley,Willamette Valley,Amalie Robert,Pinot Noir
@mattkettmann,US,Adelaida Cellars 2013 Version Red Anna's Vineyard Reserve Red (Adelaida District),"Dried purple flowers and dark cardamom spices are layered across aromas of blackberry, roast beef, soy, jerky and peppercorn on the nose of this blend of 52% Syrah, 40% Mourvèdre and 8% Grenache. A solid, nearly chewy structure unveils dark flavors of beef char, pencil lead, blueberries and a touch of asphalt.",Version Red Anna's Vineyard Reserve,90,50.0,California,Adelaida District,Central Coast,Adelaida Cellars,Syrah
@vboone,US,Jason-Stephens 2008 Estate Zinfandel (Santa Clara Valley),"Rich and ripe, this is an intense and decadent Zinfandel, with highlights of blackberry jam and milk chocolate.",Estate,86,28.0,California,Santa Clara Valley,Central Coast,Jason-Stephens,Bordeaux-style Red Blend
@paulgwine ,US,Ebony 2013 The Hive Chardonnay (Willamette Valley),"This is the personal project of Archery Summit winemaker Chris Mazepink. It's named for the bees that buzz around the vines. Rich gold in hue, it marries the flavors of ripe apples to bee pollen and lemon curd. The flavors fold into a well-developed finish, bringing up highlights of citrus peel.",The Hive,92,30.0,Oregon,Willamette Valley,Willamette Valley,Ebony,Pinot Noir
@vboone,US,Arista 2013 U.V. Lucky Well Vineyard Pinot Noir (Russian River Valley),"From a Ulises Valdez-farmed vineyard, along the same fence line as Valdez's Silver Eagle, this smoky, succulent wine has a reductive quality that will benefit from more time in bottle. Blackberry, strawberry and earth provide a fleshy aspect of intrigue. Cellar through 2023.",U.V. Lucky Well Vineyard,92,64.0,California,Russian River Valley,Sonoma,Arista,Pinot Noir
@wawinereport,US,K Vintners 2013 The Hidden Northridge Vineyard Syrah (Wahluke Slope),"Aromas of pomegranate, black fruit, herb and barrel spice lead to rich seamless palate-coating dark-fruit flavors. It's hedonistic but retains a sense of balance along with an unabashed deliciousness.",The Hidden Northridge Vineyard,95,70.0,Washington,Wahluke Slope,Columbia Valley,K Vintners,Bordeaux-style Red Blend
@vboone,US,Expression 38 2013 Gap's Crown Vineyard Chardonnay (Sonoma Coast),"A new project from Bill Hill, formerly of William Hill in the Napa Valley, this vineyard-designate is nutty and thick, layered in honeycomb and floral honey. Complex, it unravels slowly in the glass, showing a medium build and moderate use of oak. The coolness of the site allows it to retain minerality and tension.",Gap's Crown Vineyard,92,45.0,California,Sonoma Coast,Sonoma,Expression 38,Chardonnay
@paulgwine ,US,Lachini 2013 Al di Là Chardonnay (Willamette Valley),"The odd name (misspelled on the front label, correct on the back) means beyond the beyond. It's a lightly buttery, nutty take on a relatively simple, yet tasty Chardonnay, with mixed apple, tangerine and honeydew fruits.",Al di Là,89,45.0,Oregon,Willamette Valley,Willamette Valley,Lachini,Pinot Noir
@vboone,US,Materra Cunat Family Vineyards 2015 Estate Grown Chardonnay (Oak Knoll District),"This robust, richly layered wine shows lemon chiffon and vanilla characteristics balanced by golden apple and pear undertones.",Estate Grown,90,27.0,California,Oak Knoll District,Napa,Materra Cunat Family Vineyards,Merlot
@paulgwine ,US,Chateau Rollat 2005 Rollat Cabernet Sauvignon (Walla Walla Valley (WA)),"Rollat is the mid-level red wine of the three inaugural releases from Chateau Rollat. It's less brooding and compact than the companion Edouard Cabernet. Immediately accessible, it could almost be the template for this new and exciting producer; elegant, polished and supple with ripe sweet fruit and fine tannins. Flavors of black cherry and cassis envelop the palate, gently spreading out into a full-on fruit rainbow.",Rollat,92,38.0,Washington,Walla Walla Valley (WA),Columbia Valley,Chateau Rollat,Syrah
@vboone,US,Ernest & Julio Gallo 2014 Estate Pinot Noir (Russian River Valley),"This is a full-bodied, ripe wine, moderate in acidity, that reveals a wealth of baked plum and cinnamon in the glass. Along the way it meets a pine forest of savory companionship, finishing in youthful tannin.",Estate,88,95.0,California,Russian River Valley,Sonoma,Ernest & Julio Gallo,Cabernet Sauvignon
@wawinereport,US,Coeur d'Alene 2012 Scarlet Lake Syrah (Washington),"This directly appealing wine has notes of fresh blueberry pie, char and barrel spices. It's richly flavored with blue fruit, showing excellent depth and intensity. Seemingly out-of-place tart acids and astringency need some time to (hopefully?) settle.",Scarlet Lake,88,28.0,Washington,Washington,Washington Other,Coeur d'Alene,Syrah
@paulgwine ,US,Chaleur Estate 2007 Blanc White (Columbia Valley (WA)),"Make no mistake—the model for this wine can be found among the classified growth white wines of Bordeaux. The barrel influences are many and varied, layering in a mix of smoke, caramel and cracker; and the fruit is supple and beautifully blended. White raisins, Asian pears, pineapple and peaches blend together gracefully, and the alcohol remains at a moderate 13.8%.",Blanc,92,35.0,Washington,Columbia Valley (WA),Columbia Valley,Chaleur Estate,Bordeaux-style Red Blend
@wawinereport,US,Mercer 2015 Reserve Chardonnay (Horse Heaven Hills),"Aromas of vanilla, butter and barrel spice are followed by lightly styled fruit and barrel flavors. The concentration seems faint.",Reserve,86,30.0,Washington,Horse Heaven Hills,Columbia Valley,Mercer,Cabernet Sauvignon
@paulgwine ,US,Woodinville Wine Cellars 2009 Little Bear Creek Red Red (Columbia Valley (WA)),"This Bordeaux-style blend includes Cabernet Sauvignon, Cab Franc, Merlot and Malbec. A tasty, toasty bottle, it's loaded with ripe black fruits, notably cherry and cassis. The tannins are supple and seem soaked in Kahlua.",Little Bear Creek Red,90,20.0,Washington,Columbia Valley (WA),Columbia Valley,Woodinville Wine Cellars,Riesling
@vboone,US,Paul Hobbs 2012 Ulises Valdez Vineyard Chardonnay (Russian River Valley),"Voluptuously tropical in shaved coconut and silky layers of peach and pear, this is a complex, age-worthy white from a stellar vineyard site, a knockout version of the variety. Smooth and round, it maintains a core of acidity that buoys the experience, finishing with a flourish. Drink now through 2022.",Ulises Valdez Vineyard,94,70.0,California,Russian River Valley,Sonoma,Paul Hobbs,Pinot Noir
@paulgwine ,US,Iris Vineyards 2014 Chalice Estate Pinot Gris (Oregon),"Grapefruit comes to mind first upon sipping this bracing bottle. The minerality, with flavors of wet rock and an immaculate transparency, carries it along with a mix of citrus, pear and a slice of cucumber. This is a great shellfish wine.",Chalice Estate,91,22.0,Oregon,Oregon,Oregon Other,Iris Vineyards,Pinot Noir
@vboone,US,Dutton Estate 2014 Kyndall's Reserve Dutton Ranch Chardonnay (Russian River Valley),"Golden caramel in color, this wine opens in a decadence of creme brûlée, a richness that subsides on the lighter style on the palate, marked by a saltiness of wet stone, pineapple and vanilla oak. Together, the light and heavy balance one another and the wine tastes complete.",Kyndall's Reserve Dutton Ranch,92,40.0,California,Russian River Valley,Sonoma,Dutton Estate,Chardonnay
@paulgwine ,US,Dunham 2006 XII Cabernet Sauvignon (Columbia Valley (WA)),"Sharp, spicy, tight, and focused, this is one of the best of the numbered Cabs from Dunham in the past few years. It's sleek, polished and sappy, with perfect balance, and a riveting depth of black raspberry, black cherry and cassis fruit. The tannins are soft and polished, hinting at black tea and coffee grounds.",XII,93,45.0,Washington,Columbia Valley (WA),Columbia Valley,Dunham,Bordeaux-style Red Blend
@mattkettmann,US,Talley 2013 Rincon Vineyard Pinot Noir (Arroyo Grande Valley),"Plump but not overripe raspberry and alpine strawberry notes greet the nose on this bottling, with hints of shiitake mushrooms, turned earth and lavender. There's lots of herbal depth and chaparral character on the palate, with a touch of candied cherry, all presented with zesty energy that buzzes through the sip.",Rincon Vineyard,93,64.0,California,Arroyo Grande Valley,Central Coast,Talley,Pinot Noir
@paulgwine ,US,Cristom 2014 Marjorie Vineyard Pinot Noir (Eola-Amity Hills),This matches deep purple fruits to aggressive herb and stem flavors. The impression is that some percentage of whole clusters were included in the ferment. This definitely needs extra bottle age—put it away till 2020.,Marjorie Vineyard,91,65.0,Oregon,Eola-Amity Hills,Willamette Valley,Cristom,Pinot Noir
